comparison,sample_type,source,game,language,sourceItemId,tcgplayer_id,name,setId,setName,localId,cardNumber,rarity
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613774,613774,Regigigas,24145,11th Movie Commemoration Set,009/009,009/009,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:617266,617266,Articuno,24197,64 Mario Stadium Best Photo Contest,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:617267,617267,Chansey,24197,64 Mario Stadium Best Photo Contest,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:617268,617268,Charmander,24197,64 Mario Stadium Best Photo Contest,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:617269,617269,Koffing,24197,64 Mario Stadium Best Photo Contest,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:617270,617270,Squirtle,24197,64 Mario Stadium Best Photo Contest,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613042,613042,Koffing,24129,ADV Expansion Pack,001/055,001/055,Common
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613078,613078,Weezing,24129,ADV Expansion Pack,002/055,002/055,Rare
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613063,613063,Sceptile,24129,ADV Expansion Pack,003/055,003/055,Holo Rare
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613051,613051,Wurmple,24129,ADV Expansion Pack,004/055,004/055,Common
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613092,613092,Silcoon,24129,ADV Expansion Pack,005/055,005/055,Uncommon
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-22,664093,Dewgong,me2,Phantasmal Flames,22,22,Common
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-55,662168,Haunter,me2,Phantasmal Flames,55,55,Uncommon
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-68,662234,Toxtricity,me2,Phantasmal Flames,68,68,Rare
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-87,662148,Dawn,me2,Phantasmal Flames,87,87,Uncommon
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-90,662166,Grimsley's Move,me2,Phantasmal Flames,90,90,Uncommon
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-92,662217,Punk Helmet,me2,Phantasmal Flames,92,92,Uncommon
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,svp-1,480663,Sprigatito,svp,Scarlet & Violet Black Star Promos,1,1,Promo
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,svp-169,611828,Jolteon,svp,Scarlet & Violet Promos,169,169,Promo
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,svp-26,499998,Varoom,svp,Scarlet & Violet Promos,26,26,Promo
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,smp-SM184,189757,Eevee,smp,SM Black Star Promos,SM184,SM184,Promo
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,swshp-SWSH112,242028,Cinderace,swshp,SWSH Black Star Promos,SWSH112,SWSH112,Promo
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,swshp-SWSH113,242029,Inteleon,swshp,SWSH Black Star Promos,SWSH113,SWSH113,Promo
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,swshp-SWSH114,242030,Cresselia,swshp,SWSH Black Star Promos,SWSH114,SWSH114,Promo
pokemon,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,swshp-SWSH115,242031,Passimian,swshp,SWSH Black Star Promos,SWSH115,SWSH115,Promo
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613766,613766,Icy Sky's Shaymin,24145,11th Movie Commemoration Set,001/009,001/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613767,613767,Piplup,24145,11th Movie Commemoration Set,002/009,002/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613768,613768,Pikachu,24145,11th Movie Commemoration Set,003/009,003/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613769,613769,Magnezone,24145,11th Movie Commemoration Set,004/009,004/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613770,613770,Reverse World's Giratina,24145,11th Movie Commemoration Set,005/009,005/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613771,613771,Mamoswine,24145,11th Movie Commemoration Set,006/009,006/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613772,613772,Shieldon,24145,11th Movie Commemoration Set,007/009,007/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613773,613773,Dialga,24145,11th Movie Commemoration Set,008/009,008/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613774,613774,Regigigas,24145,11th Movie Commemoration Set,009/009,009/009,None
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613042,613042,Koffing,24129,ADV Expansion Pack,001/055,001/055,Common
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613078,613078,Weezing,24129,ADV Expansion Pack,002/055,002/055,Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613063,613063,Sceptile,24129,ADV Expansion Pack,003/055,003/055,Holo Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613051,613051,Wurmple,24129,ADV Expansion Pack,004/055,004/055,Common
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613092,613092,Silcoon,24129,ADV Expansion Pack,005/055,005/055,Uncommon
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613054,613054,Beautifly,24129,ADV Expansion Pack,006/055,006/055,Holo Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613086,613086,Cascoon,24129,ADV Expansion Pack,007/055,007/055,Uncommon
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613058,613058,Dustox,24129,ADV Expansion Pack,008/055,008/055,Holo Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613048,613048,Shroomish,24129,ADV Expansion Pack,009/055,009/055,Common
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613067,613067,Breloom,24129,ADV Expansion Pack,010/055,010/055,Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613055,613055,Blaziken,24129,ADV Expansion Pack,011/055,011/055,Holo Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613044,613044,Numel,24129,ADV Expansion Pack,012/055,012/055,Common
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613056,613056,Camerupt,24129,ADV Expansion Pack,013/055,013/055,Holo Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613041,613041,Goldeen,24129,ADV Expansion Pack,014/055,014/055,Common
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613074,613074,Seaking,24129,ADV Expansion Pack,015/055,015/055,Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613065,613065,Swampert,24129,ADV Expansion Pack,016/055,016/055,Holo Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613050,613050,Wingull,24129,ADV Expansion Pack,017/055,017/055,Common
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613073,613073,Pelipper,24129,ADV Expansion Pack,018/055,018/055,Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613085,613085,Carvanha,24129,ADV Expansion Pack,019/055,019/055,Uncommon
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613075,613075,Sharpedo,24129,ADV Expansion Pack,020/055,020/055,Rare
pokemon,leftOnlyByNameNumber,tcgtracking,POKEMON,ja,85:613095,613095,Wailmer,24129,ADV Expansion Pack,021/055,021/055,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-1,502552,Bulbasaur,sv3pt5,151,1,1,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-10,502559,Caterpie,sv3pt5,151,10,10,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-100,516669,Voltorb,sv3pt5,151,100,100,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-101,516670,Electrode,sv3pt5,151,101,101,Rare
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-102,516671,Exeggcute,sv3pt5,151,102,102,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-103,516672,Exeggutor,sv3pt5,151,103,103,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-104,516673,Cubone,sv3pt5,151,104,104,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-105,516674,Marowak,sv3pt5,151,105,105,Rare
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-106,516675,Hitmonlee,sv3pt5,151,106,106,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-107,516676,Hitmonchan,sv3pt5,151,107,107,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-108,516677,Lickitung,sv3pt5,151,108,108,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-109,516679,Koffing,sv3pt5,151,109,109,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-11,502560,Metapod,sv3pt5,151,11,11,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-110,516680,Weezing,sv3pt5,151,110,110,Rare
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-111,516570,Rhyhorn,sv3pt5,151,111,111,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-112,516573,Rhydon,sv3pt5,151,112,112,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-113,516575,Chansey,sv3pt5,151,113,113,Rare
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-114,516579,Tangela,sv3pt5,151,114,114,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-115,516581,Kangaskhan ex,sv3pt5,151,115,115,Double Rare
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-116,516583,Horsea,sv3pt5,151,116,116,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-117,516584,Seadra,sv3pt5,151,117,117,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-118,516681,Goldeen,sv3pt5,151,118,118,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-119,516682,Seaking,sv3pt5,151,119,119,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-12,502561,Butterfree,sv3pt5,151,12,12,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-120,516683,Staryu,sv3pt5,151,120,120,Common
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-121,516684,Starmie,sv3pt5,151,121,121,Rare
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-122,516685,Mr. Mime,sv3pt5,151,122,122,Rare
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-123,516686,Scyther,sv3pt5,151,123,123,Uncommon
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-124,516687,Jynx ex,sv3pt5,151,124,124,Double Rare
pokemon,rightOnlyByNameNumber,pokemoncard.io,POKEMON,en,sv3pt5-125,516688,Electabuzz,sv3pt5,151,125,125,Common
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,180514,180514,Alolan Exeggutor - 2a/131,1938,Alternate Art Promos,002a/131,002a/131,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,164234,164234,Entei GX - 10a/73,1938,Alternate Art Promos,010a/073,010a/073,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,189786,189786,Sceptile - 10a/168,1938,Alternate Art Promos,010a/168,010a/168,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,186106,186106,Charmander - 18a/147,1938,Alternate Art Promos,018a/147,018a/147,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,197853,197853,Alolan Sandshrew - 19a/145,1938,Alternate Art Promos,019a/145,019a/145,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,148388,148388,Slowking - 21/122 (Cosmos Holo),1938,Alternate Art Promos,021/122,021/122,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,174488,174488,Alolan Vulpix - 21a/145,1938,Alternate Art Promos,021a/145,021a/145,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,211603,211603,Oshawott - 27/114 (Cosmos Holo),1938,Alternate Art Promos,027/114,027/114,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,131697,131697,Jolteon EX - 28a/83,1938,Alternate Art Promos,028a/083,028a/083,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,179371,179371,Tapu Fini GX - 39a/147,1938,Alternate Art Promos,039a/147,039a/147,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,184219,184219,Altaria - 40a/70,1938,Alternate Art Promos,040a/070,040a/070,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,148348,148348,Regirock EX - 43a/124,1938,Alternate Art Promos,043a/124,043a/124,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,191907,191907,Garbodor - 51a/145 (Cosmos Holo),1938,Alternate Art Promos,051a/145,051a/145,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,131698,131698,Zygarde EX - 54a/124,1938,Alternate Art Promos,054a/124,054a/124,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,131695,131695,M Lucario EX - 55a/111,1938,Alternate Art Promos,055a/111,055a/111,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,179367,179367,Tapu Lele GX - 60a/145,1938,Alternate Art Promos,060a/145,060a/145,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,155599,155599,Guzzlord GX - 63a/111,1938,Alternate Art Promos,063a/111,063a/111,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,148351,148351,Team Flare Grunt - 73a/83,1938,Alternate Art Promos,073a/083,073a/083,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,148342,148342,Hex Maniac - 75a/98,1938,Alternate Art Promos,075a/098,075a/098,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,198529,198529,Zoroark GX - 77a/73,1938,Alternate Art Promos,077a/073,077a/073,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,148350,148350,Shaymin EX - 77a/108,1938,Alternate Art Promos,077a/108,077a/108,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,226132,226132,Jirachi GX - 79a/236,1938,Alternate Art Promos,079a/236,079a/236,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,184331,184331,Regigigas - 84a/111,1938,Alternate Art Promos,084a/111,084a/111,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,212993,212993,Heatran - 88/156 (Prerelease),1938,Alternate Art Promos,088/156,088/156,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,148339,148339,Blacksmith - 88a/106,1938,Alternate Art Promos,088a/106,088a/106,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,162041,162041,Darkrai GX - 88a/147,1938,Alternate Art Promos,088a/147,088a/147,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,133816,133816,Trainers' Mail - 92a/108 (Holo),1938,Alternate Art Promos,092a/108,092a/108,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,133815,133815,Trainers' Mail - 92a/108 (Non-Holo),1938,Alternate Art Promos,092a/108,092a/108,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,177113,177113,Sylveon GX - 92a/145,1938,Alternate Art Promos,092a/145,092a/145,Promo
pokemon_en_only,leftOnlyByTcgplayer,tcgtracking,POKEMON,en,171033,171033,Kirlia - 92a/147,1938,Alternate Art Promos,092a/147,092a/147,Promo
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-22,664093,Dewgong,me2,Phantasmal Flames,22,22,Common
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-55,662168,Haunter,me2,Phantasmal Flames,55,55,Uncommon
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-68,662234,Toxtricity,me2,Phantasmal Flames,68,68,Rare
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-87,662148,Dawn,me2,Phantasmal Flames,87,87,Uncommon
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-90,662166,Grimsley's Move,me2,Phantasmal Flames,90,90,Uncommon
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,me2-92,662217,Punk Helmet,me2,Phantasmal Flames,92,92,Uncommon
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,svp-1,480663,Sprigatito,svp,Scarlet & Violet Black Star Promos,1,1,Promo
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,svp-169,611828,Jolteon,svp,Scarlet & Violet Promos,169,169,Promo
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,svp-26,499998,Varoom,svp,Scarlet & Violet Promos,26,26,Promo
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,smp-SM184,189757,Eevee,smp,SM Black Star Promos,SM184,SM184,Promo
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,swshp-SWSH112,242028,Cinderace,swshp,SWSH Black Star Promos,SWSH112,SWSH112,Promo
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,swshp-SWSH113,242029,Inteleon,swshp,SWSH Black Star Promos,SWSH113,SWSH113,Promo
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,swshp-SWSH114,242030,Cresselia,swshp,SWSH Black Star Promos,SWSH114,SWSH114,Promo
pokemon_en_only,rightOnlyByTcgplayer,pokemoncard.io,POKEMON,en,swshp-SWSH115,242031,Passimian,swshp,SWSH Black Star Promos,SWSH115,SWSH115,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,180514,180514,Alolan Exeggutor - 2a/131,1938,Alternate Art Promos,002a/131,002a/131,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,164234,164234,Entei GX - 10a/73,1938,Alternate Art Promos,010a/073,010a/073,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,189786,189786,Sceptile - 10a/168,1938,Alternate Art Promos,010a/168,010a/168,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,186106,186106,Charmander - 18a/147,1938,Alternate Art Promos,018a/147,018a/147,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,197853,197853,Alolan Sandshrew - 19a/145,1938,Alternate Art Promos,019a/145,019a/145,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,148388,148388,Slowking - 21/122 (Cosmos Holo),1938,Alternate Art Promos,021/122,021/122,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,174488,174488,Alolan Vulpix - 21a/145,1938,Alternate Art Promos,021a/145,021a/145,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,131696,131696,M Manectric EX - 24a/119,1938,Alternate Art Promos,024a/119,024a/119,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,211603,211603,Oshawott - 27/114 (Cosmos Holo),1938,Alternate Art Promos,027/114,027/114,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,131697,131697,Jolteon EX - 28a/83,1938,Alternate Art Promos,028a/083,028a/083,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,179371,179371,Tapu Fini GX - 39a/147,1938,Alternate Art Promos,039a/147,039a/147,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,184219,184219,Altaria - 40a/70,1938,Alternate Art Promos,040a/070,040a/070,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,148348,148348,Regirock EX - 43a/124,1938,Alternate Art Promos,043a/124,043a/124,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,191907,191907,Garbodor - 51a/145 (Cosmos Holo),1938,Alternate Art Promos,051a/145,051a/145,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,131698,131698,Zygarde EX - 54a/124,1938,Alternate Art Promos,054a/124,054a/124,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,131695,131695,M Lucario EX - 55a/111,1938,Alternate Art Promos,055a/111,055a/111,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,179367,179367,Tapu Lele GX - 60a/145,1938,Alternate Art Promos,060a/145,060a/145,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,155599,155599,Guzzlord GX - 63a/111,1938,Alternate Art Promos,063a/111,063a/111,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,148340,148340,Aegislash EX - 65a/119,1938,Alternate Art Promos,065a/119,065a/119,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,148351,148351,Team Flare Grunt - 73a/83,1938,Alternate Art Promos,073a/083,073a/083,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,148342,148342,Hex Maniac - 75a/98,1938,Alternate Art Promos,075a/098,075a/098,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,198529,198529,Zoroark GX - 77a/73,1938,Alternate Art Promos,077a/073,077a/073,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,148350,148350,Shaymin EX - 77a/108,1938,Alternate Art Promos,077a/108,077a/108,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,226132,226132,Jirachi GX - 79a/236,1938,Alternate Art Promos,079a/236,079a/236,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,184331,184331,Regigigas - 84a/111,1938,Alternate Art Promos,084a/111,084a/111,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,212993,212993,Heatran - 88/156 (Prerelease),1938,Alternate Art Promos,088/156,088/156,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,148339,148339,Blacksmith - 88a/106,1938,Alternate Art Promos,088a/106,088a/106,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,162041,162041,Darkrai GX - 88a/147,1938,Alternate Art Promos,088a/147,088a/147,Promo
pokemon_en_only,leftOnlyByNameNumber,tcgtracking,POKEMON,en,133816,133816,Trainers' Mail - 92a/108 (Holo),1938,Alternate Art Promos,092a/108,092a/108,Promo
